"point","date","mesure","detectionLimit","x","y"
"point028",2001-01-04,255,255,2345.59899999999,6250.8320000004
"point036",2001-01-04,138,138,2371.20000000001,6351.12999999989
"point050",2001-01-04,12,12,2013.62300000002,6493.93699999992
"point032",2001-01-23,7.40000009536743,7.40000009536743,1795.38500000001,5630.98099999968
"point055",2001-01-23,0,1,1586.34399999998,6027.46600000001
"point056",2001-01-23,7.69999980926514,7.69999980926514,1360.55300000001,6496.26400000043
"point060",2001-01-23,35,35,2170.641,6092.63800000027
"point073",2001-01-23,5,5,2434.31099999999,5702.31900000013
"point275",2001-01-23,2500,2500,2691.98599999998,6067.36500000022
"point694",2001-01-23,164,164,2547.30800000002,6028.7089999998
"point032",2001-01-24,0,1,1795.38500000001,5630.98099999968
"point056",2001-01-24,9,9,1360.55300000001,6496.26400000043
"point060",2001-01-24,21,21,2170.641,6092.63800000027
"point276",2001-02-21,7.98000001907349,7.98000001907349,2640.42099999997,6390.11899999995
"point281",2001-02-21,6.32999992370605,6.32999992370605,2282.63500000001,6472.19400000013
"point283",2001-02-21,3.1800000667572,3.1800000667572,1939.70899999997,6410.50100000016
"point279",2004-05-17,2.69000005722046,2.69000005722046,2896.83399999997,6190.54800000042
"point287",2004-05-17,6.6399998664856,6.6399998664856,2420.28399999999,5905.68099999987
"point277",2004-05-18,0.280000001192093,0.280000001192093,2942.69699999999,5882.62100000028
"point281",2004-05-18,61.0999984741211,61.0999984741211,2282.63500000001,6472.19400000013
"point286",2004-05-18,6.84999990463257,6.84999990463257,2579.57699999999,5760.66500000004
"point282",2004-05-19,20.8999996185303,20.8999996185303,2154.25199999998,6386.59200000018
"point028",2004-05-20,234,234,2345.59899999999,6250.8320000004
"point032",2004-05-20,0.370000004768372,0.370000004768372,1795.38500000001,5630.98099999968
"point051",2004-05-20,0.819999992847443,0.819999992847443,1699.30800000002,5996.96999999974
"point055",2004-05-20,0.0799999982118607,0.0799999982118607,1586.34399999998,6027.46600000001
"point060",2004-05-20,87,87,2170.641,6092.63800000027
"point291",2004-05-20,5.07999992370605,5.07999992370605,1962.69099999999,5663.7620000001
"point741",2004-05-20,20.8999996185303,20.8999996185303,2579.386,6093.80700000003
"point389",2004-07-01,0,0.0163000002503395,1417.31,5492.73300000001
"point313",2004-07-01,78.5999984741211,78.5999984741211,1860.40000000002,6651.62999999989
"point319",2004-07-05,3.32999992370605,3.32999992370605,2290.33899999998,5691.19099999964
"point321",2004-07-05,0.209999993443489,0.209999993443489,2929.967,6033.52300000004
"point323",2004-07-05,11.6000003814697,11.6000003814697,2717.92200000002,5781.81099999975
"point324",2004-07-05,0.400000005960464,0.400000005960464,2610.95199999999,5724.42700000014
"point325",2004-07-05,0,0.0163000002503395,1818.23499999999,5624.53600000031
"point326",2004-07-05,0.109999999403954,0.109999999403954,1941.67599999998,5642.43900000025
"point329",2004-07-05,95.5999984741211,95.5999984741211,2160.74900000001,5954.87600000016
"point332",2004-07-05,98.3000030517578,98.3000030517578,2422.76899999997,6318.75499999989
"point333",2004-07-05,150,150,2614.07500000001,6286.15000000037
"point336",2004-07-05,18.2000007629395,18.2000007629395,2493.49900000001,5768.04499999993
"point339",2004-07-05,27.3999996185303,27.3999996185303,2817.47700000001,5978.6660000002
"point340",2004-07-05,0.839999973773956,0.839999973773956,2065.65600000002,5651.32799999975
"point341",2004-07-05,0.180000007152557,0.180000007152557,2883.54499999998,5850.00100000016
"point275",2004-07-06,3230,3230,2691.98599999998,6067.36500000022
"point276",2004-07-06,32.7000007629395,32.7000007629395,2640.42099999997,6390.11899999995
"point280",2004-07-06,98.4000015258789,98.4000015258789,2479.55099999998,6425.39099999983
"point694",2004-07-06,248,248,2547.30800000002,6028.7089999998
"point741",2004-07-06,324,324,2579.386,6093.80700000003
"point050",2004-07-07,23.8999996185303,23.8999996185303,2013.62300000002,6493.93699999992
"point056",2004-07-07,0.959999978542328,0.959999978542328,1360.55300000001,6496.26400000043
"point060",2004-07-07,85.8000030517578,85.8000030517578,2170.641,6092.63800000027
