"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point002","2009-05-01",0.114583335040758,1602.848,5856.24399999995,,,,,,,,,4.28749990463257,6.87659565945889,11.5815602194333
"point002","2009-06-01",0.146875002188608,1602.848,5856.24399999995,0.114583335040758,,,,,,,,3.64166657129924,4.28749990463257,6.87659565945889
"point002","2009-07-01",0.178125002654269,1602.848,5856.24399999995,0.146875002188608,0.114583335040758,,,,1.15853659118094,,,3.01666657129924,3.64166657129924,4.28749990463257
"point002","2009-08-01",0.392307699586337,1602.848,5856.24399999995,0.178125002654269,0.146875002188608,,,,11.7142857142857,1.15853659118094,,24.5371427717663,3.01666657129924,3.64166657129924
"point002","2009-09-01",0.988461559065261,1602.848,5856.24399999995,0.392307699586337,0.178125002654269,,,,40.5,11.7142857142857,1.15853659118094,86.3599999427796,24.5371427717663,3.01666657129924
"point002","2009-10-01",1.56538464888357,1602.848,5856.24399999995,0.988461559065261,0.392307699586337,,,,68.3571428571429,40.5,11.7142857142857,146.188571398599,86.3599999427796,24.5371427717663
"point002","2009-11-01",2.1615385083625,1602.848,5856.24399999995,1.56538464888357,0.988461559065261,,,,97.1428571428571,68.3571428571429,40.5,208.011428569612,146.188571398599,86.3599999427796
"point002","2009-12-01",0.100000001490116,1602.848,5856.24399999995,2.1615385083625,1.56538464888357,,,,2.3633188701613,97.1428571428571,68.3571428571429,2.75807855743508,208.011428569612,146.188571398599
"point002","2010-01-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,2.1615385083625,,,,2.17379920659627,2.3633188701613,97.1428571428571,2.5414846838822,2.75807855743508,208.011428569612
"point002","2010-02-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,1.98427954303125,2.17379920659627,2.3633188701613,2.32489081032932,2.5414846838822,2.75807855743508
"point002","2010-03-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,1.81310049206929,1.98427954303125,2.17379920659627,2.12925763421704,2.32489081032932,2.5414846838822
"point002","2010-04-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,1.62358082850427,1.81310049206929,1.98427954303125,1.91266376066416,2.12925763421704,2.32489081032932
"point002","2010-05-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,1.4401747024736,1.62358082850427,1.81310049206929,1.70305678625815,1.91266376066416,2.12925763421704
"point002","2010-06-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,1.25065503890858,1.4401747024736,1.62358082850427,1.48646291270527,1.70305678625815,1.91266376066416
"point002","2010-07-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,1.06724891287791,1.25065503890858,1.4401747024736,1.27685593829926,1.48646291270527,1.70305678625815
"point002","2010-08-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.940740744272868,1.06724891287791,1.25065503890858,1.25925930341085,1.27685593829926,1.48646291270527
"point002","2010-09-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.848888897895813,0.940740744272868,1.06724891287791,1.35111114978791,1.25925930341085,1.27685593829926
"point002","2010-10-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.760000014305115,0.848888897895813,0.940740744272868,1.4400000333786,1.35111114978791,1.25925930341085
"point002","2010-11-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.66814816792806,0.760000014305115,0.848888897895813,1.53185187975566,1.4400000333786,1.35111114978791
"point002","2010-12-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.59602275016633,0.66814816792806,0.760000014305115,1.60000002384186,1.53185187975566,1.4400000333786
"point002","2011-01-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.578409109603275,0.59602275016633,0.66814816792806,1.60000002384186,1.60000002384186,1.53185187975566
"point002","2011-02-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.56079546904022,0.578409109603275,0.59602275016633,1.60000002384186,1.60000002384186,1.60000002384186
"point002","2011-03-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.544886374338107,0.56079546904022,0.578409109603275,1.59625002294779,1.60000002384186,1.60000002384186
"point002","2011-04-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.527272733775052,0.544886374338107,0.56079546904022,1.47999999523163,1.59625002294779,1.60000002384186
"point002","2011-05-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.510227275165645,0.527272733775052,0.544886374338107,1.36749996840954,1.47999999523163,1.59625002294779
"point002","2011-06-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.458730158883901,0.510227275165645,0.527272733775052,1.20639995789528,1.36749996840954,1.47999999523163
"point002","2011-07-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.363492064000595,0.458730158883901,0.510227275165645,0.990399970769879,1.20639995789528,1.36749996840954
"point002","2011-08-01",0.100000001490116,1602.848,5856.24399999995,0.100000001490116,0.100000001490116,,,,0.265079365954513,0.363492064000595,0.458730158883901,0.767199984073637,0.990399970769879,1.20639995789528
